ID,Species,Interactions,Connectance,Type of interactions,Type of data,Reference,Locality,Latitude,Longitude
Bartomeu_BA,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeu_FR,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeu_M1,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeu_M3,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeu_MI,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
Bartomeu_SE,NA,NA,NA,Pollination,1,Bartomeus_etal_2008,Spain,42.315336,3.296797
benadi_14_1,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.64917,13.105
benadi_14_2,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.598,12.89722
benadi_14_3,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.58194,12.93417
benadi_14_4,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.69056,13.03056
benadi_14_5,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.67528,13.14139
benadi_14_6,NA,NA,NA,Pollination,1,Benadi_etal_2014,Germany,47.69694,12.94778
Caradonna14,NA,NA,NA,Pollination,freq,Caradonna_etal_2017,"Gothic, CO, USA",38.95139,-106.9842
Chacoff_011,NA,NA,NA,Pollination,1,Chacoff_etal_2011,"Mendoza, Argentina",-32.008985,-68.015892
Fang_Huang8,NA,NA,NA,Pollination,1,Fang_Huang_2016,China,27.90139,99.63806
Fang_Huang9,NA,NA,NA,Pollination,1,Fang_Huang_2016,China,27.90139,99.63806
Fang_Huang1,NA,NA,NA,Pollination,1,Fang_Huang_2016,China,27.90139,99.63806
ilha_das_vl,NA,NA,NA,Pollination,1,Valeria_Trivellone,Ilha das Flores,39.450242,-31.134698
lararomer16,NA,NA,NA,Pollination,1,LaraRomero_etal_2016,Spain,40.8333,-3.95
M_PL_001_00,185,361,0.043,Pollination,0,Arroyo_etal_1982,"Cordón del Cepo, Chile",-33.283334,-70.266668
M_PL_002_00,107,196,0.071,Pollination,0,Arroyo_etal_1982,"Cordón del Cepo, Chile",-33.283334,-70.266668
M_PL_003_00,61,81,0.09,Pollination,0,Arroyo_etal_1982,"Cordón del Cepo, Chile",-33.283334,-70.266668
M_PL_004_00,114,167,0.136,Pollination,1,Barrett_Helenurm_1987,"Central New Brunswick, Canada",46.553731,-66.071245
M_PL_005_00,371,923,0.035,Pollination,0,Clements_Long_1923,"Pikes Peak, Colorado, USA",38.841784,-105.043821
M_PL_006_00,78,146,0.141,Pollination,1,Dicks_etal_2002,"Hickling, Norfolk, UK",52.762395,1.575532
M_PL_007_00,52,85,0.148,Pollination,1,Dicks_etal_2002,"Shelfanger, Norfolk, UK",52.413173,1.097873
M_PL_008_00,49,106,0.254,Pollination,0,Dupont_etal_2003,"Tenerife, Canary Islands",28.216667,-16.633333
M_PL_009_00,142,242,0.085,Pollination,0,Elberling_Olesen_1999,"Latnjajaure, Abisko, Sweden",68.35,18.5
M_PL_010_00,107,456,0.194,Pollination,0,Elberling_Olesen_unpubl,Zackenberg,74.5,-20.5
M_PL_011_00,27,52,0.286,Pollination,0,Olesen_etal_2002,Mauritius Island,-20.348404,57.552152
M_PL_012_00,84,145,0.091,Pollination,0,Olesen_unpubl,"Garajonay, Gomera, Spain",28.127842,-17.248908
M_PL_013_00,65,103,0.204,Pollination,1,Ollerton_etal_2003,"KwaZulu-Natal region, South Africa",-29.616667,30.133333
M_PL_014_00,110,179,0.076,Pollination,0,Hocking_1968,"Hazen Camp, Ellesmere Island, Canada",81.816667,-71.3
M_PL_015_00,797,2933,0.034,Pollination,0,Petanidou_1991,"Daphní, Athens, Greece",38.014466,23.635043
M_PL_016_00,205,412,0.089,Pollination,0,Herrera_1988,"Doñana Nat. Park, Spain",37.016667,-6.55
M_PL_017_00,104,299,0.151,Pollination,1,Memmott_1999,"Bristol, England",51.574994,-2.589902
M_PL_018_00,144,383,0.094,Pollination,0,Olesen_unpubl2,"Hestehaven, Denmark",56.238737,9.973652
M_PL_019_00,125,264,0.078,Pollination,1,Inouye_Pyke_1988,"Snowy Mountains, Australia",-36.45,148.266667
M_PL_020_00,111,190,0.104,Pollination,0,Kevan_1970,"Hazen Camp, Ellesmere Island, Canada",81.816667,-71.3
M_PL_021_00,768,1193,0.019,Pollination,0,Kato_etal_1990,"Ashu, Kyoto, Japan",35.333333,135.75
M_PL_022_00,66,83,0.088,Pollination,0,Medan_etal_2002,"Laguna Diamante, Mendoza, Argentina",-34.166667,-69.7
M_PL_023_00,95,125,0.075,Pollination,0,Medan_etal_2002,"Rio Blanco, Mendoza, Argentina",-33,-69.283333
M_PL_024_00,29,38,0.192,Pollination,1,Mosquin_Martin_1967,"Melville Island, Canada",75,-114.966667
M_PL_025_00,57,143,0.25,Pollination,1,Motten_1982,"North Carolina, USA",36.075391,-79.001843
M_PL_026_00,159,204,0.036,Pollination,0,McMullen_1993,Galapagos,-0.290164,-90.600747
M_PL_027_00,78,120,0.111,Pollination,0,Primack_1983,"Arthur's Pass, New Zealand",-42.95,171.566667
M_PL_028_00,180,374,0.066,Pollination,0,Primack_1983,"Cass, New Zealand",-43.02823,171.78466
M_PL_029_00,167,346,0.06,Pollination,0,Primack_1983,"Craigieburn, New Zealand",-43.099531,171.720224
M_PL_030_00,81,109,0.073,Pollination,0,Ramirez_Brito_1992,"Guarico State, Venezuela",8.933333,-67.416667
M_PL_031_00,97,156,0.066,Pollination,0,Ramirez_1989,"Canaima Nat. Park, Venezuela",5.583333,-61.716667
M_PL_032_00,40,65,0.281,Pollination,0,Schemske_etal_1978,"Brownfield, Illinois, USA",40.133333,-88.166667
M_PL_033_00,47,141,0.319,Pollination,1,Small_1976,"Ottawa, Canada",45.4,-75.5
M_PL_034_00,154,312,0.094,Pollination,0,Smith-Ramirez_etal_2005,"Chiloe, Chile",-42,-73.583333
M_PL_035_00,97,178,0.081,Pollination,0,Percival_1974,"Morant Point, Jamaica",17.916667,-76.191667
M_PL_036_00,22,30,0.25,Pollination,0,Olesen_unpubl3,"Flores, Açores",39.466667,-31.227222
M_PL_037_00,50,72,0.18,Pollination,0,Montero_2005,"Hestehaven, Denmark",56.248737,9.973652
M_PL_038_00,50,79,0.235,Pollination,0,Montero_2005,"Hestehaven, Denmark",56.238737,9.993652
M_PL_039_00,68,129,0.149,Pollination,0,Stald_2003,"Tenerife, Canary Islands",28.268611,-16.605556
M_PL_040_00,72,114,0.091,Pollination,1,Ingversen_2006,"Windsor, The Cockpit Country, Jamaica",18.353889,-77.645278
M_PL_041_00,74,145,0.109,Pollination,1,Ingversen_2006,"Syndicate, Dominica",15.518889,-61.467222
M_PL_042_00,18,25,0.347,Pollination,0,Philipp_etal_2006,"Puerto Villamil, Isabela Island, Galapagos",-0.949194,-90.977222
M_PL_043_00,110,250,0.109,Pollination,0,Montero_2005,"Hestehaven, Denmark",56.238737,9.953652
M_PL_044_00,719,1125,0.017,Pollination,1,Kato_2000,"Amami-Ohsima Island, Japan",28.377248,129.493741
M_PL_045_00,43,63,0.143,Pollination,1,Lundgren_Olesen_2005,"Uummannaq Island, Greenland",71,-52
M_PL_046_00,60,278,0.395,Pollination,0,Bundgaard_2003,Denmark,56.066667,10.233333
M_PL_047_00,205,425,0.12,Pollination,0,Dupont_Olesen_2009,Isenbjerg,56.066667,9.266667
M_PL_048_00,266,671,0.095,Pollination,0,Dupont_Olesen_2009,Denmark,56.1,9.1
M_PL_049_00,262,590,0.071,Pollination,0,Bek_2006,Denmark,56.066667,10.216667
M_PL_050_00,49,86,0.176,Pollination,0,Stald_etal_2003,"Tenerife, Canary Islands",28.268611,-16.605556
M_PL_052_00,54,92,0.157,Pollination,0,Witt_1998,"Tundra, Greenladn",66.966667,-50.55
M_PL_053_00,393,589,0.02,Pollination,0,Yamazaki_Kato_2003,"Mt. Yufu, Japan",33.4,131.5
M_PL_054_00,431,773,0.022,Pollination,1,Kakutani_etal_1990,"Kyoto City, Japan",35.033333,135.783333
M_PL_055_00,259,431,0.035,Pollination,1,Kato_Miura_1996,"Nakaikemi marsh, Fukui Prefecture, Japan",35.65,136.083333
M_PL_056_00,456,871,0.026,Pollination,1,Kato_etal_1993,"Mt. Kushigata, Yamanashi Pref., Japan",35.583333,138.383333
M_PL_057_00,997,1920,0.019,Pollination,1,Inoue_etal_1990,"Kibune, Kyoto, Japan",35.166667,135.866667
M_PL_060_01,50,95,0.221,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_02,50,107,0.235,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_03,58,130,0.222,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_04,67,134,0.139,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_05,87,144,0.081,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_06,71,96,0.082,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_07,68,108,0.095,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_08,47,72,0.135,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_09,58,78,0.108,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_10,39,51,0.146,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
